version,k,delta_thresh,final_cost,time_ms
sequential,,,5966.81,0.165
prototype,,,6045.10,11.23
prototype,,,6188.12,9.32
prototype,,,9021.51,5.72
prototype,,,10241.77,4.98
topk,2,,5874.08,12.52
topk,3,,6063.11,9.49
topk,5,,11601.39,4.53
topk,10,,9915.48,3.65
topk++,2,1e-6,5849.93,44.79
topk++,2,1e-5,5849.93,22.55
topk++,2,1e-4,5849.93,23.75
topk++,3,1e-6,6013.61,18.59
topk++,3,1e-5,6013.61,22.05
topk++,3,1e-4,6013.61,18.77
topk++,5,1e-6,13411.92,9.69
topk++,5,1e-5,13411.92,10.09
topk++,5,1e-4,13411.92,10.65
topk++,10,1e-6,9084.72,15.44
topk++,10,1e-5,9084.72,14.19
topk++,10,1e-4,9084.72,14.16
